question,answer,tags
"Where is the main library?","The main library is next to the Administrative Building (north gate). Open 8:30–18:00 Sat–Thu.","library;location"
"How do I get my student ID?","Go to the Registrar Office with your admission letter + one photo. IDs are issued 9:00–14:00.","registrar;id"
"What is the Wi-Fi network?","Use 'Uni-Students'. Login with your student email + password from IT Helpdesk.","wifi;it"
"Where is the cafeteria?","The cafeteria is in the Student Center (ground floor). Breakfast 8:00–10:30, lunch 12:00–15:00.","food;cafeteria"
"What are the festival timings?","The University Festival runs three days, 10:00–16:00 daily at the main courtyard.","festival;events"
"Where is the College of Nursing located?","College of Nursing is in Building G, 2nd floor (rooms G201–G205).","nursing;location"
"What are the Nursing office hours?","Nursing office hours are Sunday–Thursday, 08:30–14:30.","nursing;office"
"Who is the contact for Nursing student affairs?","Student Affairs (Nursing): G203, email nursing.sa@uhd.edu.iq, phone +964-xxx-xxx-xxx.","nursing;contact"
"Where are Nursing labs held?","Most Nursing labs are in F101, F114, and G203 depending on the course.","nursing;labs"
"What is the uniform policy for labs and clinicals?","White lab coat, name badge, closed shoes; hair tied back. No accessories in labs/clinicals.","nursing;uniform;policy"
"Do I need vaccinations for clinical placement?","Yes. Hepatitis B, MMR, and TB screening are required before hospital rotations.","nursing;clinical;health"
"How do I get my clinical rotation schedule?","Clinical rotation schedules are posted by the Nursing office and emailed to your student account.","nursing;clinicals;schedule"
"How can I make up a missed lab?","Submit an excuse to the Nursing office within 48 hours and contact the course lecturer for a make-up slot.","nursing;attendance;labs"
"Where can I find Adult Nursing course info?","Check the LMS course page “Adult Nursing” or ask Dr. Bayan during office hours.","nursing;courses;adult-nursing"
"Who teaches Clinical Biochemistry for Nursing?","Clinical Biochemistry is taught by Dr. Shkar.","nursing;lecturer;biochemistry"
"Where is Medical Microbiology for Nursing?","Medical Microbiology theory/lab is in F101 or G203 (see weekly timetable).","nursing;microbiology;location"
"How do I request a recommendation letter?","Email your academic advisor with your CV and timeline; allow 5–7 working days.","nursing;advisor;letter"
"Where can I print or photocopy?","Printing is available at the Library ground floor and Student Center shop.","nursing;printing;services"
"How do I reset my Nursing portal password?","Visit IT Helpdesk (Building B, ground floor) or email helpdesk@uhd.edu.iq.","nursing;it;password"
"What is the passing grade policy?","Minimum passing grade is per university regulations; refer to the handbook or ask the Nursing office.","nursing;policy;grades"
